Day,Flu,COVID19
1,1,1
2,2,2
3,3,2
4,3,2
5,3,3
6,3,5
7,5,6
8,5,8
9,5,9
10,6,10
11,8,12
12,11,14
13,12,17
14,12,24
15,12,32
16,14,42
17,15,52
18,14,60
19,16,75
20,23,91
21,25,104
22,25,127
23,24,148
24,26,165
25,30,200
26,34,227
27,35,282
28,43,338
29,47,411
30,53,502
31,52,591
32,55,723
33,59,867
34,64,1013
35,67,1204
36,68,1441
37,72,1719
38,78,2060
39,79,2481
40,90,2987
41,88,3648
42,93,4389
43,101,5252
44,107,6340
45,112,7546
46,122,9088
47,131,10972
48,138,13187
49,149,15904
50,158,19144
51,158,23009
52,168,27685
53,171,33390
54,178,40434
55,187,48615
56,195,58554
57,202,70334
58,220,84612
59,226,101701
60,231,122557
61,237,147489
62,252,177301
63,257,213114
64,276,256315
65,286,308350
66,304,370664
67,326,445606
68,344,535214
69,357,642971
70,378,772804
71,384,929173
72,409,1116528
73,431,1341945
74,453,1612413
75,467,1936967
76,482,2325031
77,504,2771476
78,518,3325969
79,528,3902449
80,527,4677939
81,562,5605523
82,592,6450650
83,615,7661578
84,637,9155757
85,673,10555654
86,714,12383817
87,759,14736842
88,782,16739278
89,805,19814264
90,828,23356209
91,878,27048952
92,903,31592965
93,961,35710021
94,997,38707315
95,1035,43423837
96,1079,46585599
97,1096,50880624
98,1144,55173651
99,1192,58736849
100,1232,62653745
101,1299,66374768
102,1345,67293237
103,1396,69612935
104,1443,67614017
105,1532,69074849
106,1606,69173513
107,1657,66596536
108,1763,66229861
109,1841,65181108
110,1923,64377405
111,2032,63915825
112,2114,60755045
113,2216,58508761
114,2311,55079654
115,2429,52820862
116,2532,48259710
117,2644,45342117
118,2767,41838902
119,2874,41716218
120,3008,37126390
121,3156,34429010
122,3318,33050107
123,3484,29236035
124,3642,27016564
125,3848,22764674
126,4051,20018597
127,4247,18463503
128,4480,15468285
129,4771,13969684
130,5015,11091903
131,5309,10063711
132,5568,9711947
133,5850,8839005
134,6177,7723818
135,6494,7086367
136,6834,5865992
137,7113,4904978
138,7478,4444953
139,7806,4246230
140,8106,3808568
141,8525,3014600
142,8934,2581163
143,9432,2279542
144,9860,2118925
145,10361,1877217
146,10887,1860799
147,11424,1691791
148,12005,1562105
149,12666,1450995
150,13365,1379348
151,14121,1118715
152,14881,1044624
153,15687,990136
154,16469,878784
155,17377,859410
156,18254,727698
157,19141,683975
158,20057,633493
159,21154,557475
160,22190,505480
161,23339,408408
162,24497,381341
163,25680,339401
164,26916,329167
165,28343,284693
166,29710,260983
167,31223,233457
168,32936,222132
169,34649,186547
170,36326,155263
171,38282,139537
172,40189,115251
173,42354,109894
174,44512,103106
175,46892,79912
176,49174,68112
177,51818,63014
178,54393,49916
179,57110,47349
180,59952,42228
181,63083,38718
182,66140,35425
183,69580,32626
184,73108,27208
185,76712,24130
186,80594,18070
187,84697,15651
188,88948,15572
189,93299,14336
190,96757,13350
191,100538,12350
192,105355,11932
193,110509,10530
194,115792,7739
195,121464,6895
196,127484,6542
197,133450,6107
198,139780,6055
199,146357,5566
200,153309,5127
201,161748,4563
202,170601,4326
203,179070,3933
204,187973,3733
205,197453,3039
206,207158,2536
207,217298,2154
208,228075,1742
209,239782,1590
210,251873,1491
211,264203,1424
212,277645,1373
213,291631,1111
214,306227,1067
215,321429,1035
216,337413,955
217,354412,868
218,372218,687
219,390883,671
220,409796,493
221,430341,452
222,452182,362
223,474678,317
224,490793,257
225,514981,234
226,535951,228
227,561610,223
228,588004,198
229,616297,184
230,645378,153
231,676520,143
232,708016,134
233,741296,125
234,775538,92
235,819925,73
236,858692,73
237,903854,66
238,947815,55
239,993965,48
240,1042016,45
241,1094172,38
242,1147057,38
243,1202668,36
244,1262026,32
245,1318394,31
246,1382215,32
247,1437314,33
248,1506198,25
249,1574918,25
250,1642916,25
251,1719410,19
252,1797606,19
253,1875971,20
254,1952293,19
255,2031279,18
256,2125813,15
257,2206726,13
258,2316268,9
259,2398003,12
260,2503167,12
261,2616963,11
262,2730650,10
263,2847815,11
264,2955216,10
265,3090282,9
266,3207859,9
267,3314117,9
268,3461053,8
269,3593526,9
270,3737052,10
271,3885029,11
272,4039214,11
273,4191472,12
274,4336354,9
275,4441262,8
276,4604847,8
277,4772071,10
278,4976759,10
279,5066976,11
280,5252620,10
281,5420192,10
282,5522455,10
283,5641786,10
284,5818181,9
285,5903653,7
286,6107195,8
287,6131118,9
288,6229686,8
289,6368492,8
290,6575212,9
291,6538800,9
292,6453923,7
293,6319931,6
294,6324862,5
295,6352202,4
296,6415535,4
297,6415766,4
298,6408276,4
299,6361994,5
300,6107329,5
301,5987957,3
302,6052512,2
303,6099607,2
304,6196492,2
305,6113937,2
306,5914626,2
307,5823949,2
308,5620184,2
309,5453655,2
310,5463719,2
311,5529208,2
312,5486994,2
313,5323655,2
314,5231364,1
315,5268200,1
316,5327510,1
317,5425643,1
318,5314277,1
319,5270637,2
320,5399911,1
321,5321229,1
322,5188731,1
323,5131175,2
324,5202433,2
325,5236874,2
326,5196481,3
327,5150167,3
328,5012604,3
329,4917641,4
330,4985185,4
331,4826606,4
332,4621127,4
333,4636179,5
334,4418947,5
335,4315814,5
336,4108801,5
337,3886677,5
338,3707878,4
339,3531691,4
340,3495533,4
341,3233959,3
342,3077765,4
343,3044269,4
344,2891979,3
345,2813571,3
346,2504728,3
347,2341373,4
348,2281029,3
349,2086754,2
350,1983385,2
351,1843825,2
352,1807302,2
353,1722901,2
354,1602062,2
355,1489011,2
356,1438515,2
357,1390105,1
358,1405434,1
359,1275633,1
360,1220552,1
361,1166207,1
362,1089098,0
363,1001835,
364,960001,
365,901580,
